misc/nupdates,misc/total_timesteps,fps,sim_time,train_time,eprewmean,epcostmean,epsuccessmean,epcollisionmean,eppathlengthmean,loss/policy_entropy,loss/policy_loss,loss/value_loss,loss/cost_value_loss
1760,6762240,390,12509.201523780823,4769.532893896103,28.796827,0.6317223639999999,0.998,0.002,17.993366018638014,1.4189385175704956,0.0013361672459723194,0.05322847354109399,0.039976849697995934
1780,6839040,390,12661.109962463379,4825.114736318588,28.337912,0.529642308,0.982,0.018,18.000480979446323,1.4189385175704956,-0.0005958052293863148,4.914461336017121,0.060706587457389105
1800,6915840,390,12798.016191959381,4879.348465681076,28.571028,0.496977132,0.996,0.004,17.582372942343355,1.4189385175704956,-0.0017152307395008393,0.05202420643763617,0.054966711958695666
1820,6992640,390,12949.966015338898,4934.81792807579,28.477783,0.58544957,0.99,0.01,18.06662426967919,1.4189385175704956,-0.002292556174506899,1.5556922519288492,0.04996499365952332
1840,7069440,390,13091.567365646362,4987.941463470459,29.000597,0.45770067999999997,0.998,0.002,18.22883770815283,1.4189385175704956,-0.002720415734802373,0.05091933514049742,0.06288966768188402
1860,7146240,390,13244.52609872818,5043.8004541397095,28.888899,0.507047142,0.994,0.006,18.03046051781997,1.4189385175704956,-0.0014798476244322956,0.06700968645163811,0.0485731644781481
1880,7223040,390,13385.341282844543,5097.639457464218,28.369457,0.5267880220000001,0.992,0.008,17.589269293010236,1.4189385175704956,-0.0007579658515169286,1.262795856888988,0.05112324486181023
1900,7299840,390,13527.271696805954,5151.42914390564,28.587473,0.480927034,0.99,0.01,18.159877931788564,1.4189385175704956,-0.0011980835928625312,2.719493064674316,0.07895607708196621
1920,7376640,390,13675.605633020401,5205.764490604401,28.603058,0.501397478,0.99,0.01,17.861408237230034,1.4189385175704956,-0.001882187531555246,0.0384857934579486,0.028847431102622067
1940,7453440,390,13813.880177021027,5260.092833042145,28.523981,0.59598684,0.982,0.018,17.896709245085717,1.4189385175704956,-0.0008418827434070409,2.0627738856273936,0.04565551531704841
1960,7530240,390,13954.372800827026,5313.34875202179,28.607025,0.46700319,0.994,0.006,17.793153561420738,1.4189385175704956,-0.001457830930075943,1.6349812479515093,0.07400355729769217
1980,7607040,390,14097.100807905197,5367.497285366058,28.430319,0.55042753,0.986,0.014,17.6406829033792,1.4189385175704956,-0.0014527065810398198,1.2510072144097648,0.038937311290646905
2000,7683840,390,14232.688160896301,5421.499487400055,28.411215,0.66663396,0.982,0.018,18.30514583159983,1.4189385175704956,-0.0001916114066261798,1.4644904940680135,0.07353304241696605
2020,7760640,390,14380.831182479858,5476.3014895915985,29.009789,0.58683467,0.996,0.004,18.298451577834786,1.4189385175704956,-0.0005037798087869305,0.05314573453215417,0.030720503402699252
2040,7837440,390,14529.815825223923,5531.191202402115,28.449606,0.6009380980000001,0.992,0.008,17.996975308913736,1.4189385175704956,-0.0005398017347033601,0.04952855122101028,0.048328268035402286
2060,7914240,390,14667.167023420334,5584.034246206284,28.525406,0.503687596,0.988,0.012,17.847847897463478,1.4189385175704956,-0.001713048187593813,0.28972568789613434,0.03780371876491699
2080,7991040,390,14811.353095293045,5637.5977103710175,28.847055,0.503549608,0.998,0.002,17.701203219934367,1.4189385175704956,-0.0011684821802191436,0.0839778906054562,0.04573116650353768
2100,8067840,390,14953.331367015839,5690.834629535675,28.713707,0.46752871199999996,0.992,0.008,17.893317286871373,1.4189385175704956,-0.0017020329982187833,0.055602987072779796,0.05817765263054753
2120,8144640,390,15094.78638458252,5745.650539398193,27.8825,0.583990522,0.976,0.024,17.930079086884856,1.4189385175704956,-0.0005335881542123388,4.329530869462178,0.06272439468011726
2140,8221440,390,15246.606274843216,5801.203627824783,27.924744,0.5173720719999999,0.98,0.02,18.046117022855206,1.4189385175704956,7.813005358912051e-05,2.2363736583327407,0.06184981099504512
2160,8298240,390,15385.197012662888,5855.035877466202,28.699429,0.5078409700000001,0.994,0.006,18.294744030334055,1.4189385175704956,-0.0012054140361215104,1.2491502579010558,0.04495975774916587
2180,8375040,390,15533.526086330414,5909.487841367722,28.692648,0.5389254759999998,0.988,0.012,18.186850333102047,1.4189385175704956,-0.001285629177436931,1.1118586549971952,0.058010381158965174
2200,8451840,390,15674.00638127327,5964.270290374756,28.653273,0.541799548,0.996,0.004,18.110562205828725,1.4189385175704956,-0.00110185127123259,0.05121560631960165,0.04321597805101192
2220,8528640,389,15826.975600719452,6019.506290435791,28.589754,0.47804938999999996,0.992,0.008,18.35690005919337,1.4189385175704956,-0.0008519776049070061,0.4957816233043559,0.045370338862994686
2240,8605440,389,15980.971405982971,6075.420408964157,28.454407,0.579725112,0.986,0.014,17.95443497557193,1.4189385175704956,-0.0017671224264631745,2.6911383900849613,0.037776549805130344
2260,8682240,389,16115.006355524063,6127.830265522003,28.565945,0.48400923800000006,0.986,0.014,18.011918406918646,1.4189385175704956,-0.0017265789280827449,2.0136956511210884,0.03522574504604563
2280,8759040,390,16249.981576681137,6181.892394781113,28.649416,0.58393297,0.984,0.016,18.125380531273784,1.4189385175704956,-0.0008576269505283562,3.8363512076146433,0.08763931633875473
2300,8835840,390,16382.460268974304,6234.988784313202,28.284513,0.590071504,0.984,0.016,18.18565582665056,1.4189385175704956,-0.0022194415606463735,0.06935637821734417,0.06004534700841759
2320,8912640,390,16517.585621356964,6288.437647819519,28.588287,0.5306578439999999,0.988,0.012,18.05700008509308,1.4189385175704956,-0.0008211774693336338,2.140504828665871,0.049420647558872585
2340,8989440,390,16664.940098047256,6342.934615373611,28.494762,0.451635762,0.992,0.008,17.978161822590977,1.4189385175704956,-0.0015298717538826168,0.0525696944037918,0.03908375925384462
2360,9066240,390,16807.886610031128,6397.179149627686,28.713398,0.557023232,0.99,0.01,18.212407785467803,1.4189385175704956,-0.0012362230336293578,0.03283857223286759,0.036486294009228
